INDICATOR_VALUE,TYPE,COMMENT,ROLE,ATTACK_PHASE,OBSERVED_DATE,HANDLING,DESCRIPTION
all-united-vs-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
clikodoccovid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusnationalemergency[.]us,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19testathome[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
afectadosporcovid-19[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
approvedcovid19care[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-evolution[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19testing[.]us,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
don-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
combattrelecovid19[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirus-news[.]org[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
corona-covid19[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19assist[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronavirusinvegas[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19results[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19defender[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
dlcovid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
vaincrelecovid19[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19relief[.]us,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19mutualaidcoalition[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19registry[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
colorado-covid[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
businesses-vs-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
anti-covid-19coin[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
employmentlaw-covid19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
cacoronavirustest[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19check[.]us,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
asociaciondeafectadoscoronavirus[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
allthecovid[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid19lawyers[.]us,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
claim-help-covid-19[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
anticoronavirusscherm[.]com,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
coronaviruscornwall[.]co[.]uk,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
covid-19situation[.]info,FQDN,,DOMAIN WATCHLIST,,,TLP:WHITE ,
